,heatsinks_bottom_coefficient,heatsinks_top_coefficient,layers_bottomlayer_power,layers_bottomlayer_sourcetier,layers_bottomlayer_tiers_beol,layers_bottomlayer_tiers_si,layers_bottomlayer_tiers_sio2,layers_compute_power,layers_compute_sourcetier,layers_compute_tiers_beol,layers_compute_tiers_interthermal,layers_compute_tiers_sio2,layers_memory_power,layers_memory_sourcetier,layers_memory_tiers_beol,layers_memory_tiers_beol2,layers_memory_tiers_interthermal,layers_memory_tiers_mem,layers_memory_tiers_sio2,materials_beol_C,materials_beol_k,materials_beol2_C,materials_beol2_k,materials_interthermal_C,materials_interthermal_k,materials_mem_C,materials_mem_k,materials_si_C,materials_si_k,materials_sio2_C,materials_sio2_k,ncompute,nmemory,nrepeats,Tj,Tavg,Tavg0,Tavg1,Tavg2,Tavg3,Tavg4,Tavg5,Tavg6,Tavg7,Tavg8,Tavg9,Tavg10,Tavg11,Tavg12,Tavg13,Tavg14,Tavg15,Tavg16,Tavg17,Tavg18,Tavg19,Tavg20,Tavg21
0,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,1,2,40.43,39.52,38.14,39.1,40.41,40.43,,,,,,,,,,,,,,,,,,
1,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,3,2,44.71,42.78,39.01,40.11,41.62,43.08,44.49,44.56,44.66,44.71,,,,,,,,,,,,,,
2,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,7,2,55.67,50.96,40.75,42.13,44.04,45.9,47.71,49.48,51.18,52.84,54.45,54.62,54.92,55.17,55.37,55.52,55.62,55.67,,,,,,
3,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,10,2,66.01,58.52,42.05,43.65,45.86,48.02,50.13,52.2,54.21,56.17,58.08,59.94,61.75,63.51,63.75,64.2,64.6,64.95,65.25,65.51,65.71,65.86,65.96,66.01
4,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,4,1496000.0,4,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,1,2,39.5,38.96,38.14,38.7,39.48,39.5,,,,,,,,,,,,,,,,,,
5,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,4,1496000.0,4,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,3,2,42.41,41.26,39.01,39.65,40.56,41.43,42.28,42.32,42.38,42.41,,,,,,,,,,,,,,
6,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,4,1496000.0,4,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,7,2,49.7,46.87,40.75,41.55,42.7,43.82,44.91,45.97,47.0,48.0,48.97,49.07,49.25,49.4,49.52,49.61,49.67,49.7,,,,,,
7,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,4,1496000.0,4,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,10,2,56.44,51.93,42.05,42.97,44.31,45.61,46.88,48.12,49.34,50.52,51.67,52.79,53.88,54.94,55.08,55.35,55.59,55.8,55.98,56.14,56.26,56.35,56.41,56.44
8,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,8,1496000.0,8,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,1,2,39.03,38.67,38.14,38.49,39.02,39.03,,,,,,,,,,,,,,,,,,
9,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,8,1496000.0,8,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,3,2,41.27,40.5,39.01,39.41,40.02,40.61,41.18,41.21,41.25,41.27,,,,,,,,,,,,,,
10,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,8,1496000.0,8,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,7,2,46.72,44.82,40.75,41.25,42.03,42.78,43.51,44.22,44.91,45.58,46.23,46.29,46.41,46.51,46.59,46.65,46.7,46.72,,,,,,
11,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,8,1496000.0,8,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,10,2,51.65,48.64,42.05,42.64,43.53,44.4,45.25,46.09,46.9,47.69,48.46,49.21,49.94,50.65,50.74,50.92,51.09,51.23,51.35,51.45,51.53,51.59,51.63,51.65
12,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,16,1496000.0,16,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,1,2,38.8,38.53,38.14,38.39,38.79,38.8,,,,,,,,,,,,,,,,,,
13,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,16,1496000.0,16,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,3,2,40.69,40.11,39.01,39.3,39.76,40.2,40.63,40.65,40.68,40.69,,,,,,,,,,,,,,
14,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,16,1496000.0,16,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,7,2,45.22,43.8,40.75,41.11,41.69,42.26,42.81,43.34,43.86,44.37,44.86,44.9,44.99,45.07,45.13,45.18,45.21,45.22,,,,,,
15,10,200000.0,100,1,1,50,0.1,100,1,1,1,0.1,4,1,1,1,1,0.5,0.1,1496000.0,16,1496000.0,16,1496000.0,1,1496000.0,3,1628000.0,130,1496000.0,1.1,1,10,2,49.26,46.99,42.05,42.47,43.14,43.8,44.44,45.07,45.68,46.28,46.86,47.43,47.98,48.51,48.57,48.71,48.83,48.94,49.03,49.11,49.17,49.21,49.25,49.26
