ncompute,nmemory,nrepeats,Tj,Tavg,Tavg0,Tavg1,Tavg2,Tavg3,Tavg4,Tavg5,Tavg6,Tavg7,Tavg8,Tavg9,Tavg10,Tavg11,Tavg12,Tavg13,Tavg14,Tavg15,Tavg16,Tavg17,Tavg18,Tavg19,Tavg20
0,1,1,68.60,68.55,68.50,68.60
0,1,2,72.60,72.30,72.06,72.26,72.60
0,1,3,76.94,76.26,75.61,75.91,76.59,76.94
0,3,1,76.94,76.26,75.61,75.91,76.59,76.94
0,3,2,92.01,89.48,86.28,86.87,88.59,89.96,90.99,91.67,92.01
0,3,3,110.17,104.74,96.94,97.83,100.58,102.98,105.04,106.75,108.12,109.15,109.83,110.17
0,5,1,86.64,84.85,82.73,83.22,84.59,85.62,86.30,86.64
0,5,2,116.91,110.28,100.50,101.48,104.57,107.32,109.72,111.78,113.49,114.86,115.89,116.57,116.91
0,5,3,155.74,141.41,118.27,119.74,124.55,129.01,133.13,136.90,140.33,143.42,146.16,148.56,150.61,152.33,153.70,154.72,155.40,155.74
1,1,1,68.60,68.55,68.50,68.60
1,1,2,115.53,113.13,110.16,111.41,115.43,115.53
1,1,3,167.62,161.16,151.81,154.21,162.26,163.51,167.53,167.62
1,3,1,76.94,76.26,75.61,75.91,76.59,76.94
1,3,2,142.49,135.69,124.37,126.02,131.41,136.47,141.17,141.47,142.15,142.49
1,3,3,223.49,205.43,173.12,176.12,186.22,195.98,205.40,207.04,212.44,217.48,222.18,222.48,223.16,223.49
1,5,1,86.64,84.85,82.73,83.22,84.59,85.62,86.30,86.64
1,5,2,174.93,162.07,138.59,140.63,147.39,153.82,159.90,165.64,171.03,171.52,172.89,173.91,174.59,174.93
1,5,3,291.68,258.27,194.43,198.02,210.18,222.00,233.48,244.61,255.39,257.43,264.20,270.61,276.69,282.42,287.81,288.29,289.66,290.67,291.35,291.68
2,1,1,107.85,107.40,106.60,107.76,107.85
2,1,2,200.97,194.94,186.35,189.71,192.02,199.72,200.87,200.97
2,1,3,306.20,290.55,266.09,271.66,276.18,291.58,294.95,297.25,304.95,306.10,306.20
2,3,1,116.38,115.31,113.71,115.06,115.36,116.04,116.38
2,3,2,235.86,222.68,200.56,204.32,207.02,216.09,224.82,233.21,234.56,234.85,235.53,235.86
2,3,3,385.27,350.01,287.39,293.56,298.67,316.13,333.24,350.02,353.77,356.47,365.54,374.26,382.64,383.98,384.27,384.94,385.27
2,5,1,126.28,123.97,120.82,122.37,122.86,124.23,125.26,125.94,126.28
2,5,2,276.23,254.45,214.77,218.92,222.02,232.46,242.57,252.32,261.74,270.81,272.35,272.84,274.20,275.22,275.90,276.23
2,5,3,476.65,418.60,308.69,315.45,321.15,340.67,359.84,378.67,397.15,415.30,419.45,422.54,432.97,443.06,452.81,462.22,471.27,472.82,473.31,474.66,475.67,476.33,476.65
